time;sender;message;receiver
43007.8;FLIGHT;Okay, you want FUEL CELL 1 -;EECOM
43010.8;EECOM;Nâ‚‚ pressure.;FLIGHT
43011.8;FLIGHT;- Nâ‚‚ pressure. FUEL CELL 3, what do you want there?;EECOM
43015.8;EECOM;Oâ‚‚ pressure.;FLIGHT
43016.8;FLIGHT;Oâ‚‚ pressure. CAPCOM, let's get those as a start.;CAPCOM
43021.8;CAPCOM;13, Houston. We'd like you to verify couple of readings for us. We would like,the nitrogen pressure on fuel cell 1. We need the oxygen pressure on fuel cell,2.;LMP
43022.8;GUIDO;FLIGHT, GUIDANCE.;FLIGHT
43023.8;FLIGHT;Go, GUIDANCE.;GUIDO
43024.8;GUIDO;When his hardware restart he was doing a crew-defined maneuver, and that should,have killed it, but we're still moving. We ought to stop it.;FLIGHT
43034.8;FLIGHT;Are we using RCS now, Buck?;GUIDO
43035.8;LMP;Okay. Nitrogen on 1 and oxygen on 2. Is that correct?;CAPCOM
43039.8;CAPCOM;Negative. Oxygen on 3.;LMP
43044.8;LMP;Okay.;CAPCOM
43047.8;FLIGHT;GNC, from FLIGHT.;GNC
43051.8;FLIGHT;GNC, from FLIGHT.;GNC
43053.8;GNC;GNC.;FLIGHT
43054.8;FLIGHT;Did you see any problems in Quad D HELIUM VALVE? Does that look like that's,cleared up?;GNC
43057.8;GNC;Roger, that's cleared up, FLIGHT, we're in good shape.;FLIGHT
43059.8;FLIGHT;Okay. Now, are we using RCS now?;GNC
43061.8;GNC;That's affirmative, we're going to have to switch some thrusters to MAIN A to,hold attitude here.;FLIGHT
43066.8;FLIGHT;Okay. How much RCS are we using?;GNC
43071.8;GNC;Oh, we've used - our guess 25 pounds.;FLIGHT
43072.8;LMP;Okay. The systems test 1-A says zip.;CAPCOM
43077.8;FLIGHT;Okay. Give me minimum fuel usage configuration that'll keep me attitude.;GNC
43081.8;GNC;Roger.;FLIGHT
43082.8;TELMU;FLIGHT, TELMU.;FLIGHT
43083.8;FLIGHT;Go, TELMU.;TELMU
43084.8;TELMU;The LM heater current's become essentially static.;FLIGHT
43087.8;FLIGHT;Roger. Let's solve one problem at a time. Come back to me later on on it.;TELMU
43093.8;LMP;And 2 Baker, which is 3 oxygen, says 0.6.;CAPCOM
43099.8;CAPCOM;2 Baker says 0.6, and say again the other one.;LMP
43106.8;LMP;Fuel cell 1 nitrogen reads 0.;CAPCOM
43110.8;CAPCOM;Roger, 0.;LMP
43114.8;CAPCOM;We confirming those numbers?;FLIGHT
43129.8;FLIGHT;Buck, I need that RCS stuff as soon as you can get it.;GNC
43132.8;GNC;Roger, FLIGHT. He's turned off all jets now.;FLIGHT
43133.8;FLIGHT;Okay.;GNC
43135.8;CAPCOM;Okay, we came up with those numbers, FLIGHT.;FLIGHT
43138.8;FLIGHT;Okay, Sy. Give me your next best thing to try.;CAPCOM
43155.8;FLIGHT;EECOM, from FLIGHT.;EECOM
43156.8;EECOM;FLIGHT, EECOM.;FLIGHT
43157.8;FLIGHT;Go ahead.;EECOM
43160.8;EECOM;Why don't we try - leave FUEL CELL 2 alone, and just make sure that 1 and 3 are,disconnected from both buses. And make sure that there's abs - that there won't,be any load on them at all. And let's see what happens to those cells.;FLIGHT
43175.8;FLIGHT;Okay, what do you want to do? Open-circuit FUEL CELL 1 and 3?;EECOM
43178.8;EECOM;That's affirm, flight.;FLIGHT
43179.8;FLIGHT;Okay. CAPCOM, let's recommend we open-circuit FUEL CELL number 1 and number 3,and leave FUEL CELL number 2 as-is.;CAPCOM
43190.8;CAPCOM;Okay, 1 and 3 open-circuit, 2 as-is. And earlier we got a report from them that,1 and 3 were reading grey but zero flow.;FLIGHT
43198.8;FLIGHT;Yeah - CAPCOM, let's amend that. EECOM, from FLIGHT.;EECOM
43201.8;EECOM;FLIGHT, EECOM.;FLIGHT
43202.8;FLIGHT;Why don't we just open-circuit 1 and make sure we don't have any problems,getting that back onto the bus -;EECOM
43207.8;EECOM;Okay, FLIGHT.;FLIGHT
43208.8;FLIGHT;- and just watch it for a while before we make any further moves with 3.;EECOM
43210.8;EECOM;Roger.;FLIGHT
43211.8;FLIGHT;Okay, CAPCOM. Let's just open-circuit one of those right now.;CAPCOM
43215.8;CAPCOM;13, Houston. We'd like you to open-circuit FUEL CELL 1. Leave 2 and 3 as-is.;LMP
43224.8;LMP;Okay. I'll get to work on that.;CAPCOM
43226.8;CDR;And Jack, our Oâ‚‚ QUANTITY number 2 tank is reading 0. Did you get that?;CAPCOM
43227.8;GNC;FLIGHT, GNC.;FLIGHT
43233.8;CAPCOM;Oâ‚‚ QUANTITY number 2 is 0.;CDR
43234.8;EECOM;That's roger, FLIGHT. That's the AC problem.;FLIGHT
43236.8;CDR;That's AC, okay. Yeah, that's because of AC and it looks to me, looking out the,hatch, that we are venting something. We are venting something out into the -,into space.;CAPCOM
43237.8;FLIGHT;Roger.;EECOM
43245.8;FLIGHT;Crew thinks they're venting something.;EECOM
43247.8;EECOM;I heard it, FLIGHT.;FLIGHT
43251.8;CAPCOM;Roger. We copy your venting.;CDR
43256.8;CAPCOM;Copy that, FLIGHT?;FLIGHT
43257.8;CDR;It's a gas of some sort.;CAPCOM
43258.8;FLIGHT;Roger.;CAPCOM
43262.8;FLIGHT;Okay, let's everybody think of the kinds of things that we'd be venting. GNC,,you got anything that looks abnormal in your system?;GNC
43268.8;GNC;Negative, FLIGHT.;FLIGHT
43272.8;FLIGHT;How about you, EECOM? You see anything that - with the instrumentation you've,got that could be venting?;EECOM
43277.8;LMP;Okay, FUEL CELL 1 you just wanted it off the line now, Jack, is that right?;CAPCOM
43281.8;CAPCOM;We just wanted you to open the circuit on fuel cell 1.;LMP
43282.8;EECOM;That's affirm, FLIGHT.;FLIGHT
43287.8;LMP;Okay, she's off the line.;CAPCOM
43290.8;EECOM;Let me look at the system, FLIGHT, as far as the venting is concerned.;FLIGHT
43292.8;FLIGHT;Okay. Let's start scanning. I assume you've called in your backup EECOMs?;EECOM
43299.8;FLIGHT;EECOM?;EECOM
43300.8;EECOM;FLIGHT, say again?;FLIGHT
43301.8;FLIGHT;Have you called in your backup EECOMs now? See if we can get some more brain,power on this thing?;EECOM
43304.8;EECOM;We got one here.;FLIGHT
43305.8;FLIGHT;Roger.;EECOM
43306.8;INCO;FLIGHT, INCO.;FLIGHT
43307.8;FLIGHT;Go, INCO.;INCO
43308.8;INCO;He's - he's - never mind, he's straightening up a little bit.;FLIGHT
43310.8;FLIGHT;Okay.;INCO
43334.8;FLIGHT;Okay, now, let's everybody keep cool. We've got the LM still attached, the LM,spacecraft is good, so if we need to get back home we've got a LM to do a good,portion of it with. Okay? Let's make sure we don't do anything that's going to,blow our CSM electrical power with the batteries, or that will cause us to lose,the MAIN - the FUEL CELL number 2. We want to keep the Oâ‚‚ and that kind of,stuff working, we'd like to have RCS. But we've got the Command Module system,,so we're in good shape if we need to get home. Let's solve the problem, but,let's not make it any worse by guessin'.;ALL
43395.8;GNC;FLIGHT, GNC.;FLIGHT
43399.8;FLIGHT;Go, GNC.;GNC
43400.8;GNC;I have some jet configurations for you whenever you need them.;FLIGHT
43403.8;FLIGHT;Okay.;GNC
43406.8;FLIGHT;Give them to me.;GNC
43410.8;GNC;Okay. Charlie 3, Charlie 4 to MAIN A. Bravo 3 and Bravo 4 to MAIN A. Charlie 1,and Charlie 2 to MAIN A -;FLIGHT
43421.8;FLIGHT;Standby.;GNC
43430.8;GNC;"Yeah; it's all of quad Charlie on MAIN A.";FLIGHT
43433.8;FLIGHT;Okay.;GNC
43434.8;GNC;Plus Bravo 3 and Bravo 4.;FLIGHT
43438.8;FLIGHT;Now, what are we going to be doing with these, GNC?;GNC
43441.8;GNC;That'll give us one jet in each direction on each axis.;FLIGHT
43444.8;FLIGHT;Okay.;GNC
43445.8;GUIDO;FLIGHT, GUIDANCE.;FLIGHT
43446.8;FLIGHT;Go, GUIDANCE.;GUIDO
43447.8;GUIDO;He's getting close to gimbal lock.;FLIGHT
43448.8;FLIGHT;CAPCOM - okay, CAPCOM, recommend he bring up C-3, C-4, B-3, B-4, C-1, C-2 on,MAIN A and advise him he's getting close to gimbal lock.;CAPCOM
43457.8;CAPCOM;13, Houston. We see you getting close to gimbal lock there. We'd like you to,bring up all quad Cs on MAIN A, quad C-l, C-2, C-3, C-4 on MAIN A, and also,bring B-3 and B-4 up on MAIN A.;LMP
43461.8;FLIGHT;GUIDANCE, from FLIGHT.;GUIDO
43462.8;GUIDO;Go ahead.;FLIGHT
43463.8;FLIGHT;Could we go to a coarse align on the platform here, so we don't have to use any,gas if we need to? We could reorient if necessary.;GUIDO
43471.8;GUIDO;Roger. I was going to recommend a P52 in a little bit anyway -;FLIGHT
43474.8;FLIGHT;Well, it's going to take a while before we get to the point we're even thinking,of a P52.;GUIDO
43478.8;GUIDO;Yeah.;FLIGHT
43481.8;FLIGHT;Yeah, it'll coarse align itself there, won't it?;GUIDO
43484.8;CAPCOM;13, Houston. Do you read?;LMP
43487.8;GUIDO;It'll coarse align at -;FLIGHT
43488.8;FLIGHT;Roger.;GUIDO
43489.8;LMP;Yes. No, we got it.;CAPCOM
43490.8;GUIDO; - any time itself;FLIGHT
43491.8;CDR;Affirm.;CAPCOM
43492.8;CAPCOM;Okay. Can you tell us anything about the venting: where it's coming from, what,window you see it at?;LMP
43499.8;LMP;It's coming out of window 1 right now, Jack, and could you give me the,thrusters again?;CAPCOM
43504.8;CAPCOM;Okay, the thrusters -;LMP
43505.8;LMP;What buses?;CAPCOM
43506.8;CAPCOM;We'd like - on MAIN A, we'd like Charlie 1, 2, 3, and 4. Also Bravo 3 and 4 on,MAIN A.;LMP
43521.8;LMP;Okay. Got it.;CAPCOM
43539.8;FLIGHT;Okay, EECOM. I'm coming back to you.;EECOM
43542.8;EECOM;FLIGHT -;FLIGHT
43543.8;FLIGHT;Go ahead.;EECOM
43544.8;EECOM;#NAAM?;FLIGHT
43548.8;FLIGHT;Okay -;EECOM
43549.8;EECOM;Let's go down the emergency 1-5.;FLIGHT
43552.8;FLIGHT;You want to power down, let us look at the TM and all that good stuff, and then,come back up.;EECOM
43558.8;EECOM;That's affirm.;FLIGHT
43559.8;INCO;FLIGHT, INCO. OMNI Bravo.;FLIGHT
43561.8;FLIGHT;You want OMNI Bravo again?;INCO
43563.8;INCO;Right.;FLIGHT
43564.8;FLIGHT;On board. OMNI Bravo.;INCO
43571.8;CAPCOM;13, we need OMNI Bravo.;LMP
43572.8;FLIGHT;CAPCOM, recommend OMNI Bravo.;CAPCOM
43575.8;LMP;OMNI Bravo.;CAPCOM
43576.8;FLIGHT;Okay. What - you want to go to - power down - give me the page.;INCO
43580.8;EECOM;Emergency 1-5, FLIGHT, we'll go down - try to get a delta of 10 amps reduction.;FLIGHT
43602.8;INCO;Okay, we've got OMNI Bravo, FLIGHT.;FLIGHT
43611.8;FLIGHT;EECOM, do you want to go through that again? What do you want to power down to?;EECOM
43614.8;EECOM;I want to power down a total of 10 amps, FLIGHT.;FLIGHT
43617.8;FLIGHT;A total of 10 amps.;EECOM
43618.8;EECOM;That's affirm.;FLIGHT
43620.8;FLIGHT;Okay.;EECOM
43624.8;FLIGHT;CAPCOM, we'd recommend emergency power down checklist 1-5, we want to power,down a total - a delta of 10 amps from where we are now.;CAPCOM
43633.8;GNC;FLIGHT, GNC.;FLIGHT
43634.8;FLIGHT;Go, GNC.;GNC
43635.8;GNC;Can we afford to do a PTC first, and then we can shut off all of that stuff,with no problems.;FLIGHT
43640.8;FLIGHT;Why? You think you're going to have a thermal problem here?;GNC
43642.8;GNC;Well, we could have - if we stay there too long, or we -;FLIGHT
43644.8;FLIGHT;Okay, we'll run into that one later, Buck -;GNC
43647.8;GNC;Okay.;FLIGHT
43648.8;FLIGHT;#NAAM?;CAPCOM
43650.8;CAPCOM;You want - you still want 1-5 down to 10 amps?;FLIGHT
43652.8;FLIGHT;1-5 power down a delta of 10 amps, CAPCOM.;CAPCOM
43657.8;CAPCOM;Okay, 13, this is Houston. We'd like you to go to your GNC checklist, the pink,pages, 1-5. Do a powerdown until we get a delta of 10 amps. Over.;LMP
43670.8;LMP;Alright. Roger.;CAPCOM
43680.8;FLIGHT;EECOM, from FLIGHT.;EECOM
43683.8;EECOM;Go, FLIGHT.;FLIGHT
43684.8;FLIGHT;You don't want to get fuel cell pumps off, do you?;EECOM
43693.8;FLIGHT;Optics power is already off, I believe.;EECOM
43696.8;EECOM;We can do that on FUEL CELL number 1, FLIGHT.;FLIGHT
43699.8;FLIGHT;Okay, well let's make sure we don't blow the whole mission.;EECOM
43712.8;CDR;Okay, Jack. Say again that - - for the power down - on the pink pages, the 1-5.;CAPCOM
43720.8;CAPCOM;Okay. We'd like you to go down that power down procedure until you get a delta,of 10 amps. Over.;CDR
43729.8;EECOM;FLIGHT, EECOM.;FLIGHT
43730.8;CDR;Roger.;CAPCOM
43731.8;FLIGHT;Go, EECOM.;EECOM
43732.8;EECOM;Would you not want to consider going to PTC?;FLIGHT
43735.8;FLIGHT;Well, why don't we get this problem here resolved, right now -;EECOM
43738.8;EECOM;This will aid our power down, I think -;FLIGHT
43740.8;FLIGHT;Pardon?;EECOM
43741.8;EECOM;- this should aid our power down, I'd hope - wouldn't it?;FLIGHT
43746.8;FLIGHT;Well, do you expect that we're going to be in a thermal problem for the next,many hours? EECOM?;EECOM
43753.8;EECOM;Well, I don't know where to say the sun is right now, FLIGHT.;FLIGHT
43756.8;GNC;Well, it's pretty close to quad A right now.;EECOM
43758.8;EECOM;Are we - by 90 degrees?;GNC
43759.8;CAPCOM;13, Houston. Did you copy our power down request?;CMP
43762.8;GNC;I don't know exactly where. It's between A and B, mostly on A.;EECOM
43766.8;CMP;Roger, Jack. We're - we're doing it right now.;CAPCOM
43767.8;CDR;Yeah where - where did you say that was located, Jack?;CAPCOM
43772.8;CAPCOM;That's in your systems checklist, page 1-5.;CDR
43796.8;CAPCOM;And 13, you might also check for those pages in your launch checklist. They're,emergency pages - pink pages, 1-5. And we'd like you to power down until you,get -;CMP
43801.8;FLIGHT;GNC, from FLIGHT.;GNC
43805.8;FLIGHT;GNC, from FLIGHT.;GNC
43806.8;CMP;Okay. That was in the launch checklist, Jack.;CAPCOM
43809.8;GNC;GNC.;FLIGHT
43810.8;FLIGHT;Buck, I'd prefer not making any unnecessary maneuvers now, or try to use any of,the equipment's on board the spacecraft, such things as CMC, that type of stuff,until we nail down what our problem is.;GNC
43811.8;CAPCOM;Roger. Power down until you get an amperage of 10 amps less than what you got,now. Over.;CMP
43819.8;CDR;Okay.;CAPCOM
43824.8;GNC;"Well, that's why I was recommending PTC because we don't need any of that stuff,then; heaters or anything else.";FLIGHT
43828.8;FLIGHT;Yeah, but you gotta get the CMC on, and keep it online. And you need a rather,precise period of time for redamping there.;GNC
43839.8;GNC;In the order of about 20 minutes to damp out and then spin up and then we can,do without any of that.;FLIGHT
43846.8;GNC;If we get a good spinup going then we're stable -;FLIGHT
43848.8;FLIGHT;Okay, that might be a good idea. That would buy us some more time from a,standpoint of reviewing the data. And it would get us back into the - as close,to the normal flight plan as we could. How far are we out of attitude right now?;GNC
43866.8;GNC;He's a fair ways out right now, FLIGHT. He'd have to do another VERB 49 and fly,back and then stabilize there.;FLIGHT
43945.8;EECOM;FLIGHT, EECOM.;FLIGHT
43946.8;FLIGHT;Go, EECOM.;EECOM
43947.8;EECOM;Okay, I need one thing right now. He's powering down, he's down to 41 amps,,total spacecraft. I'd like to get my AC 2 BUS back so I can look at Oâ‚‚ TANK 2,PRESSURE. I have no insight into that.;FLIGHT
43961.8;FLIGHT;Okay.;EECOM
43962.8;EECOM;Let's get - I guess we can put INVERTER 3 to MAIN A. AC 2.;FLIGHT
43971.8;EECOM;And let's just do it temporarily -;FLIGHT
43972.8;FLIGHT;Now, let me ask you a question - before you do that would you like to make sure,you've got all AC load you don't need isolated from the bus?;EECOM
43981.8;EECOM;Nah, it - let's not do that right now, FLIGHT. I think we're in good shape that,way. The MAIN A is up high enough where it can handle the inverter.;FLIGHT
43988.8;FLIGHT;Well, the thing that concerns me is starting - is throwing equipment - we had a,problem, we don't know the cause of the problem, and -;EECOM
43994.8;EECOM;FLIGHT, I've got a feeling we've lost two fuel cells. I hate to put it that,way, but - I don't know why we've lost them. It doesn't all tag up. And it's,not an instrumentation problem, the best I can tell right now.;FLIGHT
44008.8;FLIGHT;Okay, I'll tell you what. Let's discuss this for just a little bit longer,there, Sy. CAPCOM, start them moving back towards a PTC attitude, let's start,him going into his rate damping. I feel it's going to be a relatively long,period of time to try and nail down the problem. Go ahead.;CAPCOM
44015.8;CMP;Okay Jack. Are you happy with the amps we have now?;CAPCOM
44020.8;CAPCOM;Standby 1, Fred.;CMP
44022.8;CAPCOM;He's asking how do we like his amperage setup right now?;FLIGHT
44024.8;CMP;Okay Jack, and on this page 1-5, we proceeded right down the list, all the way,down. We're right now at BMAG number 2 is in WARM UP.;CAPCOM
44027.8;FLIGHT;Are you happy with his power level right now, EECOM?;EECOM
44035.8;CAPCOM;Roger. We copy BMAG 2 in WARM UP. We'll follow you through.;CMP
44037.8;INCO;FLIGHT, INCO.;FLIGHT
44038.8;FLIGHT;Go ahead.;INCO
44039.8;INCO;I'd like to - for him to secure the high-gain before he starts getting into PTC.;FLIGHT
44041.8;CMP;Okay, and something is giving us some rates, Jack, both in pitch and roll, so,I'm suspecting that maybe it's whatever it is that's venting back there. I've,had to use DIRECT in order to stabilize this, and as soon as I do, we're,starting to pick up rates again. Can you pick up any jets firing?;CAPCOM
44062.8;CAPCOM;Standby.;CMP
44063.8;GNC;That's affirmative, FLIGHT.;FLIGHT
44064.8;FLIGHT;GNC? What's firing now? You got something firing?;GNC
44067.8;GNC;Well, we've seen quite a bit of thruster activity.;FLIGHT
44068.8;CAPCOM;What direction are your rates in, Jack?;CMP
44070.8;FLIGHT;Okay, I guess this kills the PTC, too, because we're not going to get into PTC,as long as we've got something venting.;GNC
44075.8;CMP;It's negative pitch and negative roll.;CAPCOM
44080.8;GNC;Roger, FLIGHT. That agrees with what we're seeing here.;FLIGHT
44081.8;CAPCOM;Roger.;CMP
44083.8;EECOM;FLIGHT, EECOM.;FLIGHT
44084.8;FLIGHT;Go, EECOM.;EECOM
44085.8;EECOM;I've got a little correction. Let's put INVERTER 1 on both AC buses, please.;FLIGHT
44089.8;FLIGHT;INVERTER 1 on both AC. Why?;EECOM
44091.8;EECOM;That's affirm, so I can get some AC BUS power back so I can have some insight,into my AC BUS 2 telemetry, especially my cryos, maybe - the venting may be,coming from that. And also, I think that the FUEL CELL 2 pumps are on AC 2, and,this will take care of it without switching the pumps yet.;FLIGHT
44113.8;FLIGHT;Say that again. You think your fuel cell pumps -;EECOM
44116.8;EECOM;Yeah. FUEL CELL 2 pumps I think are on AC 2.;FLIGHT
44119.8;FLIGHT;Okay, but according to the checklist, he should have powered - he should have,turned those off, right? Now, he said he was down to BMAG number 2 is in WARM,UP, so he's already gone through the fuel cell pump stuff.;EECOM
44129.8;EECOM;Okay. Good enough.;FLIGHT
44131.8;FLIGHT;Okay, so you want to configure INVERTER 1 on both AC buses.;EECOM
44136.8;EECOM;That's affirm, FLIGHT.;FLIGHT
44150.8;CAPCOM;FLIGHT, I didn't - I was listening to the spacecraft and I didn't pass up,INVERTER 3 to MAIN A to AC 2, did you delete that?;FLIGHT
44157.8;FLIGHT;No, we deleted that.;CAPCOM
44159.8;CAPCOM;Alright.;FLIGHT
44164.8;FLIGHT;You want to put INVERTER 1 on both AC BUSES. EECOM and CAPCOM, let's do it.;CAPCOM
44168.8;CAPCOM;Okay.;FLIGHT
44170.8;CAPCOM;13, Houston. We need to get some more instrumentation up. We'd like you to put,INVERTER 1 on both AC BUSES. Over.;LMP
44175.8;FLIGHT;EECOM, from FLIGHT.;EECOM
44176.8;EECOM;FLIGHT, EECOM.;FLIGHT
44177.8;FLIGHT;Monitor this bear when we switch again -;EECOM
44178.8;EECOM;With you.;FLIGHT
44182.8;LMP;Okay.;CAPCOM
44188.8;FLIGHT;TELMU and CONTROL, from FLIGHT.;TELMU
44191.8;TELMU;Go, FLIGHT.;FLIGHT
44192.8;FLIGHT;Will you -;TELMU
44193.8;LMP;Okay, you got INVERTER 1 on both AC BUSES now.;CAPCOM
44194.8;CONTROL;Go, FLIGHT.;FLIGHT
44195.8;FLIGHT;- take a look at the prelaunch data and go through your systems and see if,there's anything you've got that may have started venting here?;CONTROL
44197.8;CONTROL;Roger, FLIGHT.;FLIGHT
44198.8;TELMU;We'll look.;FLIGHT
44199.8;FLIGHT;Okay. And I want a report on that in about the next fifteen minutes. Quick look,type stuff.;CONTROL
44203.8;CONTROL;Okay.;FLIGHT
44205.8;FDO;FLIGHT, FDO.;FLIGHT
44206.8;FLIGHT;Go, FDO.;FDO
44207.8;FDO;We're definitely seeing a vent in the data.;FLIGHT
44208.8;FLIGHT;Okay.;FDO
44209.8;LMP;And Jack, one of the items that we turned off was the - all the fuel cell,pumps. Okay, and you might let us know when fuel cell 2 needs its pump back. We,ought to take care of that guy.;CAPCOM
44216.8;FLIGHT;Roger. We copy that, CAPCOM.;CAPCOM
44225.8;EECOM;Fuel cell - FLIGHT, EECOM.;FLIGHT
44227.8;CAPCOM;Roger.;LMP
44228.8;FLIGHT;Go ahead.;EECOM
44229.8;EECOM;FUEL CELL 2 PUMPS to AC 1.;FLIGHT
44230.8;FLIGHT;You want FUEL CELL 2 PUMP to AC 1.;EECOM
44232.8;EECOM;Affirmative.;FLIGHT
44233.8;FLIGHT;CAPCOM, FUEL CELL 2 PUMP to AC 1.;CAPCOM
44236.8;CAPCOM;Okay, Fred. We want FUEL CELL 2 PUMPS to AC 1, please.;CDR
44244.8;CDR;FUEL CELL 2 to AC 1. Roger.;CAPCOM
44248.8;LMP;Okay, it's on AC 1.;CAPCOM
44250.8;FLIGHT;EECOM, from FLIGHT.;EECOM
44251.8;EECOM;FLIGHT, EECOM.;FLIGHT
44252.8;FLIGHT;Have you got anybody getting a delog on this thing downstairs?;EECOM
44256.8;FLIGHT;NETWORK, from FLIGHT.;NETWORK
44258.8;NETWORK;FLIGHT, NETWORK.;FLIGHT
44259.8;FLIGHT;Bring me up another computer in the RTCC, will you?;NETWORK
44263.8;NETWORK;We got one machine on the RTCC and we got dual CPs downstairs.;FLIGHT
44267.8;FLIGHT;Okay, I want another machine up in the RTCC and I want a bunch of guys capable,of running delogs down there.;NETWORK
44272.8;NETWORK;Roger that.;FLIGHT
44274.8;CAPCOM;FLIGHT, did you hear him say he's getting some rates? We want to know if he's,firing any thrusters?;FLIGHT
44280.8;FLIGHT;Roger. GNC, watch those thrusters, will you?;GNC
44283.8;GNC;GNC. Say again?;FLIGHT
44284.8;FLIGHT;Have you got any thrusters firing?;GNC
44286.8;GNC;We're looking at that C-3 thruster, FLIGHT. It looks like it stays on most of,the time.;FLIGHT
44291.8;FLIGHT;Well, can we turn them all off and see if we've still got the rates or any,build-up in rates?;GNC
44295.8;GNC;Well, the rates that we're seeing is opposite to the direction of that,thruster, so if anything it's just trying to hold and not quite up to it.;FLIGHT
44302.8;FLIGHT;Okay, but -;GNC
44303.8;CAPCOM;He's been trying to counteract the rates with DIRECT. He's been getting a,negative pitch and a negative roll.;FLIGHT
44311.8;FLIGHT;Okay.;CAPCOM
44315.8;CAPCOM;But he asked if we were getting some thruster firings that were not being made,by him.;FLIGHT
44320.8;FLIGHT;I'll tell you what, GNC can you get somebody in the back room to try to figure,out what the equivalent âˆ†V is we're getting? So that we can see if we can,backtrack to see if we can figure out what's venting.;GNC
44338.8;FLIGHT;In other words, do - it would seem we could equate that to effective thrust and,an axis and then deduce what's venting.;GNC
44345.8;GNC;Roger, we'll give that a try, FLIGHT.;FLIGHT
44346.8;FLIGHT;Okay. And that might be of interest to the LM guys.;GNC
44350.8;CAPCOM;He also said it was coming past window number 1.;FLIGHT
44352.8;INCO;FLIGHT, INCO.;FLIGHT
44353.8;FLIGHT;Roger, we got that.;CAPCOM
44354.8;INCO;Need OMNI Charlie.;FLIGHT
44355.8;FLIGHT;OMNI Charlie, CAPCOM.;CAPCOM
44356.8;CAPCOM;OMNI Charlie please, 13.;CDR
44359.8;FLIGHT;EECOM, from FLIGHT. What did - okay, we've got two good AC buses. What did all,that tell you, now?;EECOM
44361.8;CDR;OMNI Charlie.;CAPCOM
44367.8;EECOM;It tells me that - well, just give me about 2 more minutes, FLIGHT.;FLIGHT
44372.8;FLIGHT;Okay. Take your time.;EECOM
44375.8;CAPCOM;Okay, 13. We've got lots and lots of people working on this. We'll give you,some dope as soon as we have it, and you'll be the first one to know.;CMP
44388.8;CMP;Oh thank you.;CAPCOM
44398.8;LMP;Okay, Jack, and the weird configuration we're sitting in now is we have the,hatch installed, we still have the probe and drogue inside the command module,,and we're going to stay in this situation until you kind of give us an okay to,reinstall the probe and drogue.;CAPCOM
44415.8;FLIGHT;Roger. Concur, CAPCOM.;CAPCOM
44416.8;CAPCOM;Roger. We'll give you an answer.;LMP
44417.8;LMP;Or if necessary, to use the LM consumables.;CAPCOM
44420.8;CAPCOM;Roger.;LMP
44421.8;TELMU;FLIGHT, TELMU. We copy.;FLIGHT
44424.8;FLIGHT;Roger.;TELMU
44425.8;FDO;FLIGHT, FDO.;FLIGHT
44426.8;FLIGHT;Go, FDO.;FDO
44427.8;FDO;Two machines in the RTCC.;FLIGHT
44428.8;FLIGHT;Okay.;FDO
44586.8;GNC;FLIGHT, GNC.;FLIGHT
44587.8;FLIGHT;Go, GNC.;GNC
44588.8;GNC;We would like to turn thruster Alpha 3 on MAIN A and see that'll help control,that pitch and at the same time we can turn off Charlie 3 because -;FLIGHT
44595.8;FLIGHT;Okay. Get me some real-time plotting on how we're using RCS here, will you?;GNC
44599.8;GNC;Roger, FLIGHT. And in the pitch axis we really don't seem to be using any. And,that's why we'd like to go to Alpha and see if that changes it any.;FLIGHT
44605.8;FLIGHT;Okay, now what do you want again?;GNC
44607.8;GNC;Thruster Alpha 3 to MAIN A.;FLIGHT
44613.8;FLIGHT;Alpha 3 to MAIN A.;GNC
44617.8;FLIGHT;CAPCOM, do you want to pass that up to the crew, please?;CAPCOM
44621.8;CAPCOM;13, we'd like to have you put thruster Alpha 3 on MAIN A, please.;CDR
44625.8;FLIGHT;Give me a gross amount of RCS propellant consumed so far, GNC.;GNC
44628.8;CDR;Alpha 3 on MAIN A.;CAPCOM
44632.8;GNC;Roger, FLIGHT. It'll take 30 seconds.;FLIGHT
44633.8;LMP;Okay, Jack. Are you monitoring the quad temps in quad A - package temps?;CAPCOM
44634.8;FLIGHT;Okay.;GNC
44639.8;GNC;That's affirmative, FLIGHT. We're still below the limits.;FLIGHT
44640.8;CAPCOM;Affirmative.;LMP
44642.8;EECOM;Flight, EECOM.;FLIGHT
44643.8;FLIGHT;Go, EECOM.;EECOM
44645.8;EECOM;We've really got to get that battery off the line and power down some more. And,we've got to get some MAIN B power back so we can build our pressure back up in,Oâ‚‚ TANK 1. It's down to 318psi.;FLIGHT
44659.8;FLIGHT;BATTERY -;EECOM
44660.8;EECOM;With MAIN B down, we have no heaters in Oâ‚‚ tanks.;FLIGHT
44664.8;FLIGHT;Okay, what do you want to power down?;EECOM
44666.8;EECOM;Well, where'd he say he got down to? BMAG 2 OFF? Not inclusive?;FLIGHT
44669.8;FLIGHT;That's affirmative. BMAG 2 is in WARM UP.;EECOM
44673.8;EECOM;I think we'll go ahead and turn that down - we still have the LM with us, right?;FLIGHT
44678.8;FLIGHT;That's affirmative.;EECOM
44679.8;EECOM;So - if we shut down the SCS we ought to be a little better off, perhaps. I,think we ought to press on and go down through BMAG 2 OFF, and get those lights,minimum.;FLIGHT
44690.8;FLIGHT;Okay. How much you want to power down? Another 10 amps?;EECOM
